,SMILES,Standard Value,pIC50
CHEMBL207101,Oc1cc(O)c2c(=S)n(-c3ccc(O)c(F)c3)cnc2c1,102,6.991399828
CHEMBL406630,Oc1ccc(-c2ccccc2)cc1Cl,3100,5.508638306
CHEMBL365016,C/C=C\c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,1.42,8.847711656
CHEMBL188900,Oc1ccc(-c2nc3cc(O)cc(/C=C\Br)c3o2)cc1,45,7.346787486
CHEMBL1445192,COc1cccc(-c2[nH]nc3c2C(c2ccoc2)C(C#N)=C(N)O3)c1,19995.95,4.699057958
CHEMBL1496995,c1coc(-c2nn3c(-c4ccco4)nnc3s2)c1,23990.91,4.619953278
CHEMBL1393548,c1ccc(-c2nnc3sc(Cc4cccs4)nn23)cc1,21631.12,4.664920993
CHEMBL1359893,COc1ccc(Cl)cc1NC(=O)c1ocnc1C,8770,5.057000407
CHEMBL1507788,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)N3CCC4(CC3)OCCO4)o2)cc1,12835.75,4.89157875
CHEMBL1509057,O=C(COC(=O)CN1C(=O)c2ccccc2C1=O)Nc1ncc(Cl)cc1Cl,11060.13,4.956239768
CHEMBL1549371,CC(=O)Nc1ccc(OC(=O)CC2SC(=O)NC2=O)cc1,8534.79,5.06880716
CHEMBL1972915,Cc1nn(-c2ccccc2)c(Cl)c1/C=N/Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1[N+](=O)[O-],7260.54,5.139031078
CHEMBL1433062,COc1ccc(OC)c(N2C(=O)[C@H]3ON=C(c4ccccc4Cl)[C@H]3C2=O)c1,2490.5,5.603713454
CHEMBL1387610,c1ccc(-c2noc(-c3ccc4c(c3)OCO4)n2)nc1,37784.33,4.422688274
CHEMBL4647229,CCCCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,6550,5.1837587
CHEMBL1426947,COc1ccc(N2Cc3cccc(C(=O)O)c3C2=O)cc1,2151.52,5.667254612
CHEMBL1601624,Cc1cc(C)c(C(=O)COc2cccnc2[N+](=O)[O-])cc1C,7211.78,5.14195753
CHEMBL1509357,O=C(Nc1nccs1)c1ccc2nccnc2c1,14853.76,4.828163597
CHEMBL1569742,O=C(Cc1cccs1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,2709.22,5.567155727
CHEMBL1083326,CC(C)=CCc1c([C@H]2CCc3ccc(O)cc3O2)cc(O)c(O)c1CC=C(C)C,96000,4.017728767
CHEMBL3234633,Oc1ccc(/C(=N\c2cccc(C(F)(F)F)c2)c2ccc(O)cc2O)cc1,28,7.552841969
CHEMBL150279,CN(CCCc1ccc(F)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,15,7.823908741
CHEMBL472468,Oc1ccc(C2=C(c3ccc(OCCN4CCCC4)cc3)CCOc3cc(F)ccc32)cc1,17.33,7.761201437
CHEMBL412907,Oc1ccc2c(c1)CCN(c1ccccc1)C2C1CCCCC1,99,7.004364805
CHEMBL1628170,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](Sc4ccc(/C=C/C(=O)O)cc4)[C@H]3[C@@H]1CC[C@@H]2O,21,7.677780705
CHEMBL206440,C=Cc1ccc2c(c1)c(=O)oc1c(C)c(O)ccc12,310,6.508638306
CHEMBL438977,Cc1c(O)ccc2c1oc(=O)c1cc(Br)ccc12,128,6.89279003
CHEMBL203122,CC(C)c1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,48086,4.317981348
CHEMBL377083,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)cc1F,256,6.591760035
CHEMBL92900,Oc1ccc2c(c1)CCN(Cc1ccc3c(c1)OCO3)C2c1ccc(OCCN2CCCC2)cc1,220,6.657577319
CHEMBL316292,O=C(c1ccccc1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,2250,5.647817482
CHEMBL1501334,OC(COc1ccc(C2C=CCC2)cc1)CN1CCCCC1,13102.14,4.882657764
CHEMBL1370794,COC(=O)c1ccc(CSc2ncnc3c2oc2ccccc23)o1,57.78,7.238222462
CHEMBL1478395,O=C1NC(=S)SC1=C1CCCC1,240.33,6.619192014
CHEMBL1439640,COc1ccc(Cc2nnc(NC(=O)Cc3cccs3)s2)cc1,72.52,7.139542205
CHEMBL10560,CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(O)cc3CC[C@@H]2C1,580,6.236572006
CHEMBL332625,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCNCC3)cc2)cc1,186,6.730487056
CHEMBL122208,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2CCCN2CCCCC2)cc1,27,7.568636236
CHEMBL463804,Oc1ccc([C@H]2CCc3ccc(O)cc3O2)cc1,14700,4.832682665
CHEMBL3927163,O=S(=O)(Nc1ccc(Oc2ccccc2)cc1)c1cccc(C(F)(F)F)c1,23000,4.638272164
CHEMBL1393131,O=C(O)c1cc(-c2ccco2)nc2ccc(Br)cc12,9818.59,5.007950875
CHEMBL3576885,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(-c4cc[nH]n4)ccc3[nH]2)C1=O,2600,5.585026652
CHEMBL1407483,CC1=C(SCCC#N)S/C(=C2\SC(C)=C(SCCC#N)S2)S1,129.07,6.88917469
CHEMBL1424486,Nc1nc(-c2ccco2)c(-c2ccco2)s1,101219.63,3.994735255
CHEMBL1480843,Cc1ccc(C(=O)CSC2=C(C#N)C(c3ccco3)CC(=O)N2)c(C)c1,16124.21,4.792521554
CHEMBL1606722,O=C(Cc1cccs1)Nc1nncs1,17020.44,4.769029217
CHEMBL482642,Cc1nc2cc(C(=O)O)ccc2[nH]1,24693.1,4.607424385
CHEMBL206499,CCCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,3224,5.491604967
CHEMBL203351,CCc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,265,6.576754126
CHEMBL1383746,O=C(c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCC2(CC1)OCCO2,8966.89,5.047358158
CHEMBL1544707,O=C(Nc1ccc2c(c1)OCO2)c1cccc2c1C(=O)N(Cc1cccnc1)C2,3133.78,5.503931495
CHEMBL1565585,Nc1cc(-c2nn[nH]n2)ccc1F,858.95,6.066032116
CHEMBL1575072,Cc1nc2ncnn2c(N2CCN(C(=O)Cc3cccs3)CC2)c1C,106.77,6.971550757
CHEMBL3235686,CCC[Si](CCC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,804,6.094743951
CHEMBL1900054,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,69.8,7.156144577
CHEMBL1096975,CCOC(=O)C1(C(=O)OCC)Cc2ccc([C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@@]43C)cc2C1,1083.93,5.964998764
CHEMBL1098710,CCOC(=O)C1(C#N)Cc2ccc([C@]3(O)CC[C@H]4[C@@H]5CCc6cc(O)ccc6[C@H]5CC[C@@]43C)cc2C1,53.58,7.270997291
CHEMBL3234621,Oc1ccc(C(=Nc2ccc(F)cc2)c2ccc(O)cc2)cc1,7,8.15490196
CHEMBL3234626,Oc1ccc(/C(=N\c2ccccc2)c2ccc(O)cc2O)cc1,6,8.22184875
CHEMBL1396046,CC1CCCCN1CC(=O)Nc1sc2c(c1C#N)CCCC2,30.14,7.520856752
CHEMBL1469246,CCOC(=O)N1CCN(c2cc(NCCC(=O)O)c3c4c(onc24)-c2ccccc2C3=O)CC1,5408.24,5.266944044
CHEMBL1402138,CCN1CCN(Cc2ccc(NC(=O)Nc3cccs3)cc2)CC1,410.37,6.386824396
CHEMBL1363249,CCN1CCN(C(c2cccnc2)c2cc(Cl)c3cccnc3c2O)CC1,2392.39,5.621168022
CHEMBL1443554,Cc1ccccc1Nc1nnc(SCC(=O)NCc2ccco2)s1,3242.69,5.489094568
CHEMBL3578295,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3c(NS(C)(=O)=O)cccc3[nH]2)C1=O,7300,5.13667714
CHEMBL1255778,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,3053.97,5.515135233
CHEMBL1878162,N#CC1=C(N)n2c(s/c(=C\c3ccco3)c2=O)=C(C#N)C1c1ccco1,1923.98,5.715799447
CHEMBL1448985,O=C(NCCc1ccccc1)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,2589.96,5.586706943
CHEMBL1377973,O=C(c1cc2ncc(Br)cn2n1)N1CCN(C(=O)c2ccco2)CC1,348.59,6.457685076
CHEMBL1613004,Oc1ccc(-c2cn3c(n2)SCC3)cc1O,10720.72,4.969776047
CHEMBL4646092,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,60,7.22184875
CHEMBL2403346,CCC(CC)(c1ccc(O)cc1)c1ccc(O)c(C)c1,380,6.420216403
CHEMBL261780,Cc1cc(O)ccc1-c1ccccc1,4000,5.397940009
CHEMBL1300534,Cc1nc(C)c(C(=O)Nc2nc3c(C)cccc3s2)o1,587.9,6.23069654
CHEMBL1520373,COc1ccc2c(c1)c(=O)oc1cc3oc(C)c(C)c3cc12,204.68,6.688924592
CHEMBL377295,CCOC(=O)C1=C(O)/C(=C\c2ccc(CNC(=O)C(=O)Nc3ccccc3)o2)N=C1C,1950.99,5.709744957
CHEMBL1542518,c1ccc(Cc2nnc3sc(-c4ccco4)nn23)cc1,15174.64,4.818881603
CHEMBL294209,O=S(=O)(Nc1nccs1)c1cc(Cl)ccc1Cl,78590.57,4.104629561
CHEMBL1307923,CN1CCN(C(c2cccnc2)c2ccc3cccnc3c2O)CC1,32561.82,4.487291329
CHEMBL1548361,O=C(c1cccc(F)c1)N1CCN(C(=O)c2cc3ncc(Br)cn3n2)CC1,1160.74,5.935265049
CHEMBL1486827,O=C(Cc1cnn(-c2ccccc2)c1)c1ccc(O)c(O)c1O,34547.61,4.461581992
CHEMBL4517877,CS(=O)(=O)c1ccc(C(CCCO)=C(c2ccccc2)c2ccccc2)cc1,1500,5.823908741
CHEMBL2024377,C[C@H](COc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1)N1CCCC1,2.6,8.585026652
CHEMBL3264936,CCn1c(CCCc2ccc(-c3ccc(NS(=O)(=O)c4ccc(-c5ccc(OC)cc5)cc4)cc3)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,34800,4.458420756
CHEMBL3234637,Oc1ccc(/N=C(\c2ccc(O)cc2)c2ccc(O)cc2O)cc1,417,6.379863945
CHEMBL4290408,Oc1ccc(-c2ccc(-c3ccc(OCCN4CCCCC4)cc3F)[se]2)c(F)c1,1945,5.711080394
CHEMBL3931922,COC[C@@H]1CC2C(CC[C@@]3(C)C2CC[C@@H]3O)c2ccc(O)cc21,80,7.096910013
CHEMBL465879,COc1ccc(CCCc2ccc(O)cc2)c(O)c1,1800,5.744727495
CHEMBL1336564,CC(=O)c1sc2nc(SCC(=O)N3CCCCC3)nc(O)c2c1C,14574.72,4.83639978
CHEMBL3212046,CC(=N)/C(C#N)=C(/O)CSc1nnc(Nc2cccc(C)c2C)s1,12287.81,4.910525513
CHEMBL1531320,O=C(NCc1ccco1)c1cc2ccc(O)cc2oc1=O,3569.49,5.44739383
CHEMBL3213380,CCOC(=O)C1=c2/c(=C/c3ccccc3OC)c(N)c(C#N)n2C(=O)C(c2ccccc2OC)S1,78505.67,4.105098976
CHEMBL1413056,O=c1cc(CSc2nnc(-c3cccs3)n2Cc2ccccc2)nc2sc3ccccc3n12,19273.8,4.715032652
CHEMBL1524916,CN(C)c1ncc(C2=C(Cl)C(=O)C(N3CCCC3)=C(Cl)C2=O)s1,20565.93,4.686851647
CHEMBL4207109,O=S(=O)(Oc1ccccc1)[C@H]1C[C@@H]2O[C@@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,585,6.232844134
CHEMBL4638252,B.Oc1ccc(P(c2ccccc2)c2ccccc2)cc1,2000,5.698970004
CHEMBL4203715,O=S(=O)(Oc1ccc(Br)cc1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,2530,5.596879479
CHEMBL4169339,CNC(=O)c1ccc2nc(C)c3nnc(-c4ccccc4Cl)n3c2c1,2.512,8.599980365
CHEMBL4646249,Oc1ccc(C(c2ccc(O)cc2)C(F)(F)F)cc1,331,6.480172006
CHEMBL4227113,O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)Nc1ccccc1,0.94,9.026872146
CHEMBL1083188,O=C(O)CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1,44,7.356547324
CHEMBL4206798,Cc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(/C=C/c4cc(O)cc(O)c4)cc2)=C3c2ccc(O)cc2)cc1,69,7.161150909
CHEMBL285632,O=C1c2ccccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,510,6.292429824
CHEMBL1440196,Cc1ccc(-n2c(SCc3cc(=O)n4ccsc4n3)nnc2-c2cccnc2)c(C)c1,721.07,6.142022573
CHEMBL1539824,COc1ccc(NC(=O)c2cc(-c3ccc(C)o3)nc3ccccc23)cc1OC,24677.02,4.607707287
CHEMBL1373720,CC1CCN(Cc2ccc(NC(=O)C3CCN(c4nnc(-n5cccc5)s4)CC3)cc2)CC1,1103.59,5.957192243
CHEMBL191841,CSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,3,8.522878745
CHEMBL1498999,CCCNC(=O)c1ccc(-c2nc3ccccc3s2)s1,102459.88,3.989446157
CHEMBL1082528,Oc1ccc2c(c1)OCCC1=C2[C@H](c2ccc(OCCN3CCCCCC3)cc2)Oc2cc(F)ccc21,31,7.508638306
CHEMBL1082864,COc1ccc2c(c1)O[C@@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,63,7.200659451
CHEMBL3234619,Oc1ccc(C(=Nc2ccc(Cl)cc2)c2ccc(O)cc2)cc1,9,8.045757491
CHEMBL3234635,Oc1ccc(/C(=N\c2ccc(Br)cc2)c2ccc(O)cc2O)cc1,100,7
CHEMBL1086774,Oc1ccc2c(c1)O[C@@H](c1ccc(OCCN3CCCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,13.4,7.872895202
CHEMBL511269,COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(OCCN2CCC2)cc1,4.61,8.336299075
CHEMBL4210210,COC(=O)Cc1ccc(OCc2oc(-c3ccccc3OC)nc2C)cc1,10000,5
CHEMBL196585,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,15.4,7.812479279
CHEMBL4225431,O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)c1ccccc1,447,6.349692477
CHEMBL4224880,O=C(O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCSc3cc(F)ccc32)cc1,3.1,8.508638306
CHEMBL4212447,O=S(=O)(Oc1ccccc1Cl)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,4310,5.36552273
CHEMBL511812,CC[C@@]12C[C@H](O)[C@](O)(c3ccccc3)C[C@H]1CCc1cc(O)ccc12,660,6.180456064
CHEMBL4213948,O=S(=O)(Oc1cccc(C(F)(F)F)c1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,42,7.37675071
CHEMBL2407647,COc1cc(CNC(=O)[C@@]2(Cc3ccccc3)OC(=O)N([C@@H]3CCc4ccccc43)C2=O)cc(OC)c1,15000,4.823908741
CHEMBL1334452,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,11436.4,4.941710663
CHEMBL1423705,Cc1cc(-c2nc3c4c5c(sc4nc(O)n3n2)CCC5)c(C)o1,18566.18,4.731277443
CHEMBL1323132,CCOC(=O)c1ccc(NC(=O)COc2ccc(-n3cnnn3)cc2)cc1,59.76,7.223589411
CHEMBL1592951,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1,33044.48,4.480901078
CHEMBL1581251,Cc1cccc(C)c1NC(=O)CSc1nnc(-c2ccco2)c(-c2ccco2)n1,2002.21,5.698490374
CHEMBL1965461,CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2C)S/C1=N\c1cccc(O)c1,60.39,7.21903497
CHEMBL195515,CC/C(=C(\c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,3,8.522878745
CHEMBL4279757,Oc1ccc(-c2ccc(-c3ccc(OCCN4CCCC4)cc3Cl)[se]2)c(Cl)c1,299,6.524328812
CHEMBL4278678,Oc1ccc(-c2c[se]cc2-c2ccc(OCCN3CCCCC3)cc2)cc1,451,6.345823458
CHEMBL4290089,Cc1cc(-c2c[se]cc2-c2ccc(OCCN3CCCCC3)c(C)c2)ccc1O,415,6.381951903
CHEMBL1208076,Oc1ccc(C2(c3ccc(O)cc3)CCCC2)cc1,270,6.568636236
CHEMBL2403357,CCCCC(CCCC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,150,6.823908741
CHEMBL1583667,CCCNCC1COc2ccccc2O1.Cl,4104.36,5.386754554
CHEMBL4225156,CCN(CC)C(=O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,43,7.366531544
CHEMBL1231453,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,560,6.251811973
CHEMBL2403356,CCCC(CCC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,140,6.853871964
CHEMBL4206281,COc1cc(/C=C/c2ccc(OS(=O)(=O)C3CC4OC3C(c3ccc(O)cc3)=C4c3ccc(O)cc3)cc2)cc(OC)c1,934,6.029653124
CHEMBL4649834,Oc1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1,13000,4.886056648
CHEMBL2313450,C[Si](C)(c1ccccc1)c1ccc(O)cc1,5000,5.301029996
CHEMBL2407651,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccc(F)cc2)(C(=O)NCc2ccc(Cl)c(Cl)c2)C1=O,15000,4.823908741
CHEMBL3589359,COc1ccccc1OS(=O)(=O)C1CC2OC1C(c1ccc(NC(=O)CCCCCCC(=O)O)cc1)=C2c1ccc(O)cc1,290,6.537602002
CHEMBL3589360,O=C(O)CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc(F)cc4)C2O3)cc1,280,6.552841969
CHEMBL4526434,OC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,191,6.718966633
CHEMBL1605526,O=C(COC(=O)C1CC2C=CC1C2)NCc1ccco1,7152.15,5.145563386
CHEMBL1300662,C=CCn1c(=O)c(C#N)cc2c(=O)n3ccccc3nc21,21147.22,4.674746717
CHEMBL1542128,CCCC1=NN2C(=N)/C(=C\c3ccc(SCc4ccco4)o3)C(=O)N=C2S1,2651.11,5.576572252
CHEMBL1582133,C1CCC(c2nn3c(-c4[nH]nc5c4CCC5)nnc3s2)CC1,10218.25,4.990623476
CHEMBL1386982,COc1ccc(NC(=O)CN(c2ccccc2)S(=O)(=O)N(C)C)cc1OC,10099.67,4.995692816
CHEMBL597888,NC(=O)c1cccc2c1C(=O)N(C1CCCCC1)C2,12456.58,4.904601178
CHEMBL4544403,CS(=O)(=O)c1ccc(C(CCCCO)=C(c2ccccc2)c2ccccc2)cc1,1400,5.853871964
CHEMBL4449687,CCOc1ccc(-c2ccc(CCCc3nn(-c4ccc(C(F)(F)F)cc4)c(=O)n3-c3ccccc3F)cc2)cc1CC(=O)O,10400,4.982966661
CHEMBL4168797,CNC(=O)c1ccc2nc(C)c3nnc(-c4cc(OCC(C)C)ccc4Cl)n3c2c1,0.631,9.199970641
CHEMBL4592754,CS(=O)(=O)c1ccc(C(CCCCO)=C(c2ccc(F)cc2)c2ccc(F)cc2)cc1,180,6.744727495
CHEMBL2403360,CCc1cc(C(CC)(CC)c2ccc(O)c(CC)c2)ccc1O,1300,5.886056648
CHEMBL2403347,CCC(CC)(c1cc(C)c(O)c(C)c1)c1cc(C)c(O)c(C)c1,300,6.522878745
CHEMBL418971,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,870,6.060480747
CHEMBL4642117,Oc1ccc(C(c2ccc(O)cc2)C(Br)(Br)Br)cc1,40.2,7.395773947
CHEMBL3823192,COc1ccc(/C=C(/C(=O)N(C)CCCCCCCCCCCCn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)c2cc(OC)c(OC)c(OC)c2)cc1O,155,6.809668302
CHEMBL3360850,COc1ccc([C@H]2[C@H](C(O)c3ccc(O)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,15,7.823908741
CHEMBL4088694,Cl.Oc1ccc2c(-c3ccccc3)c3cc4ccccc4cc3nc2c1,306,6.514278574
CHEMBL4227881,CC(=O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,175,6.756961951
CHEMBL4229221,COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(/C=C/C(=O)O)cc1,119,6.924453039
CHEMBL4228974,Cc1ccc(N2CCN(C(=O)/C=C/c3ccc(C4=C(c5ccc(O)cc5)CCOc5cc(F)ccc54)cc3)CC2)cc1,203,6.692503962
CHEMBL4225690,O=C(O)COc1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,34,7.468521083
CHEMBL4582563,CS(=O)(=O)c1ccc(C(CCCCO[N+](=O)[O-])=C(c2ccc(F)cc2)c2ccc(F)cc2)cc1,200,6.698970004
CHEMBL3360844,O=C1[C@@H](c2ccc(O)cc2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,4800,5.318758763
CHEMBL4205171,O=S(=O)(Oc1ccc(Cl)cc1)C1CC2OC1C(c1ccc(/C=C/c3cc(O)cc(O)c3)cc1)=C2c1ccc(O)cc1,1020,5.991399828
CHEMBL4228649,O=C(O)/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,72,7.142667504
CHEMBL3960585,COC[C@@H]1C[C@@H]2[C@H](CCC3C(O)CC[C@H]32)c2ccc(O)cc21,21,7.677780705
CHEMBL3360848,COc1cc([C@@H]2C(=O)N(c3ccc(O)cc3)[C@H]2c2ccc(O)cc2)cc(OC)c1OC,23000,4.638272164
CHEMBL3360849,COc1cc([C@H]2[C@H](c3ccc(O)cc3)C(=O)N2c2ccc(O)cc2)cc(OC)c1OC,144000,3.841637508
CHEMBL3578271,C[C@H](c1ccc(F)cc1)N1C(=O)O[C@](Cc2ccccc2)(c2nc3cc(Cl)ccc3[nH]2)C1=O,2400,5.619788758
CHEMBL4286995,Oc1ccc(-c2ccc(-c3ccc(OCCN4CCCC4)cc3)[se]2)cc1,1266,5.897566294
CHEMBL4225599,COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(OCC(=O)O)cc1,1014,5.993962045
CHEMBL4636096,N#CC1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,10420,4.982132281
CHEMBL4643337,CCCCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,2350,5.628932138
CHEMBL3578284,Cc1nocc1-c1ccc2[nH]c([C@@]3(Cc4ccccc4)OC(=O)N([C@H](C)c4ccc(F)cc4)C3=O)nc2c1,3000,5.522878745
CHEMBL4645668,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,3100,5.508638306
CHEMBL1509500,COCCCn1c(Cc2csc(Nc3cccc(Cl)c3)n2)nnc1SCC(=O)OC1CCCCC1,43.36,7.362910726
CHEMBL4640476,B.CP(c1ccccc1)c1ccc(O)cc1,2500,5.602059991
CHEMBL2392656,CC(c1ccc(O)cc1)c1ccc(O)cc1,2400,5.619788758
CHEMBL3648370,O=C1Oc2cc(O)cc(Cc3ccccc3)c2CC1c1ccc(Cl)cc1,250,6.602059991
CHEMBL4071813,Cl.Clc1c2ccccc2cc2c(-c3ccccc3)c3ccccc3nc12,2525,5.597738618
CHEMBL4285636,Oc1ccc(-c2c[se]cc2-c2ccc(OCCN3CCCCC3)cc2Cl)c(Cl)c1,331,6.480172006
CHEMBL3099431,CC1C[C@H](C)C2(CC[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@@]32C)O1,111,6.954677021
CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,5,8.301029996
CHEMBL194805,CC(C)(c1ccccc1)c1ccc(O)cc1,13000,4.886056648
CHEMBL4643184,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,350,6.455931956
CHEMBL4087989,Cl.Oc1ccc2cc3nc4ccccc4c(-c4ccccc4)c3cc2c1,154,6.812479279
CHEMBL4289024,Oc1ccc(-c2cc(-c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)[se]2)cc1,5391,5.268330668
CHEMBL4645341,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCOCC2)cc1,2440,5.612610174
CHEMBL4647279,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,220,6.657577319
CHEMBL4633486,Oc1ccc(P(=[Se])(c2ccccc2)c2ccccc2)cc1,10000,5
CHEMBL1603587,CCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccccc1,610,6.214670165
CHEMBL3589701,O=C(CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc5ccccc5c4)C2O3)cc1)NO,7700,5.113509275
CHEMBL3589346,O=S(=O)(Oc1ccccc1)[C@H]1C[C@H]2O[C@@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,581,6.235823868
CHEMBL4648351,CC(C)(C)OC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,670,6.173925197
CHEMBL4644899,CC(C)(C)OC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1,370,6.431798276
CHEMBL3360845,O=C1[C@@H](Oc2ccccc2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,1200,5.920818754
CHEMBL3360846,O=C1[C@@H](c2ccc3ccccc3c2)[C@H](c2ccc(O)cc2)N1c1ccc(O)cc1,1100,5.958607315
CHEMBL4637118,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccccc1,1590,5.798602876
CHEMBL370458,N#CC1=C(N)Oc2cc(O)ccc2C1c1ccccc1,8390,5.076238039
CHEMBL4643970,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCOCC2)cc1,630,6.200659451
CHEMBL4647883,COC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(O)cc1,10020,4.999132278
