,SMILES,Standard Value,pIC50
CHEMBL1782331,CCC(CC)(c1ccc(O)cc1)c1ccc(O)cc1,93,7.031517051
CHEMBL1628199,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1C(=O)c2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,37,7.431798276
CHEMBL377171,CCCC12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2,12.6,7.899629455
CHEMBL199599,Cn1cccc1-c1nc2ccccc2n1-c1ccc(O)cc1,28.1,7.55129368
CHEMBL1200474,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl,61.42,7.211690188
CHEMBL1346172,O=C(NCc1ccccn1)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,4900.41,5.309767583
CHEMBL394788,O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)cc1[N+](=O)[O-],92,7.036212173
CHEMBL46903,Cc1c(-c2ccc(O)cc2)n(CCCCCCN2CCCC2)c2ccc(O)cc12,242,6.616184634
CHEMBL377694,CCCC12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,4.4,8.356547324
CHEMBL212419,CC1=C2c3ccc(O)cc3CC2(C(C)C)CCC1=O,123,6.910094889
CHEMBL211599,CC12CCC(=O)C=C1c1ccc(O)cc1C2,936,6.028724151
CHEMBL181404,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,16,7.795880017
CHEMBL369724,C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CC[C@@H](C)C3)cc2)[C@H]1c1ccc(O)cc1,15,7.823908741
CHEMBL180873,Cc1cccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)c1,12.47,7.904133547
CHEMBL178679,O=C(c1ccc(N2CCN(c3ccc(Cl)cc3)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,9.07,8.042392713
CHEMBL359671,C[C@H]1CCN([C@@H](C)COc2ccc([C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,19,7.721246399
CHEMBL180702,Cc1ccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)cc1,4.94,8.306273051
CHEMBL1540767,Nc1c(Cl)cc(Cl)cc1C(=O)OCC(=O)NC1CC1,26535.95,4.57616536
CHEMBL1463954,CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1,18797.6,4.725897596
CHEMBL1307301,CCN(c1ccccc1)S(=O)(=O)c1cc(C(=O)O)ccc1C,6116.29,5.213511931
CHEMBL1467399,CC(=O)c1c(COC(=O)c2ccco2)nc2ccccc2[n+]1[O-],10839.12,4.965005976
CHEMBL211870,CCC12CCC(=O)C(Br)=C1c1ccc3[nH]nc(F)c3c1C2,1.6,8.795880017
CHEMBL434502,Cc1nc(CN2CCN(c3nc(NCCc4ccc(O)cc4)nc(N(C)CCCc4ccc(Cl)cc4)n3)CC2)cs1,5,8.301029996
CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,28,7.552841969
